ID,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Total Storage Volume,Average Distribution Pressure,Unaccounted for Treated Water,Total Building Area,Engine Driven Pump HP,Total Average Flow,Average raw turbidity,Peak raw turbidity,Difference between highest and lowest system elevation,Total system hp,Total Energy Use kBtu
id,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
CA025,0,0,0,0,0,0,4,350,200,0,0,0,0,0,"17,500",4,80,225,200,0,0,60,0,0,0,4,0,0,25,200,0
CA026,3,0,0,1,0,0,0,500,550,0,0,0,0,0,"17,000",12,56,660,300,0,6,70,0,0,0,4,0,0,360,550,"17,729,642"
CA027,30,84,0,10,0,0,0,500,"11,815",1,0,5,0,0,"147,000",52,600,"1,785",850,0,36,97,6,"10,000",0,40,2,0,935,"11,815",0
CA028,18,30,33,0,0,0,0,566,"3,980",0,1,0,0,0,"72,000",55,350,"3,309","2,800","3,980",54,60,0,0,600,18,0,1,509,"7,960","167,509,900"
CA029,0,0,0,0,0,0,17,0,0,0,0,1,0,0,"80,650",45,324,"1,600",300,"3,160",74,125,5,0,275,17,0,0,"1,300","3,160","32,320,126"
CA030,0,1,1,7,32,0,205,440,600,4,8,1,11,0,"1,294,000",403,"3,317","1,130",260,"6,900","80,375",60,7,0,0,212,1,51,870,"7,500","342,420,182"
CA031,5,6,7,13,30,30,7,800,190,0,0,6,69,0,"177,630",32,390,500,5,"2,045",43,60,1,0,0,24,4,120,495,"2,235","94,982,700"
CA032,0,0,0,0,0,0,40,0,0,0,0,0,0,0,"24,800",102,285,"2,400",930,"20,500",140,100,5,0,"2,800",40,0,0,"1,470","20,500","46,625,075"
CA033,0,0,0,5,9,16,0,140,"2,450",0,0,1,20,0,"44,519",20,160,700,90,790,25,50,6,0,0,6,1,31,610,"3,240","24,781,405"
CA034,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"10,825",62,97,735,38,"1,970",8,70,7,0,0,0,0,0,697,"1,970",0
CA035,0,0,0,0,0,0,4,500,490,0,0,0,0,0,"40,165",6,100,"1,000",40,"1,165",7,90,6,"1,225","1,080",4,0,0,960,"1,655","24,413,096"
CA036,0,0,5,11,19,24,0,600,0,0,1,4,700,900,"84,000",45,250,780,230,100,20,75,8,"6,250",0,11,4,"1,157",550,100,"6,035,470"
CA037,0,0,4,16,36,37,0,500,0,0,0,3,13,870,"90,473",43,309,"1,396",0,"2,810",43,122,5,0,0,16,3,28,"1,396","2,810","24,593,365"
CA038,0,0,0,0,0,0,5,350,0,0,0,0,0,0,"10,000",6,52,40,-11,0,6,85,0,"3,500","1,500",5,0,0,51,0,"826,451"
CA039,0,1,0,0,0,0,15,400,450,0,1,0,0,0,"91,000",17,269,950,150,"2,900",25,80,6,"20,000",0,15,0,0,800,"3,350","56,124,199"
CA040,0,1,2,11,15,24,0,200,"1,200",1,1,5,25,"1,000","90,000",30,262,"1,014",0,950,45,85,8,0,125,11,5,34,"1,014","2,150","78,084,152"
CA041,14,16,17,28,32,31,0,200,"4,740",0,1,3,20,25,"87,000",50,467,0,0,"2,005",32,75,5,0,0,42,2,15,0,"6,745","144,850,882"
CA042,0,0,0,5,7,10,0,0,45,9,148,0,0,"1,096","27,247",7,89,0,5,330,7,58,15,0,"1,833",5,0,0,-5,375,"17,392,668"
CA043,9,16,0,0,0,0,0,325,"1,100",2,0,0,0,0,"36,000",7,138,98,98,"1,100",2,50,0,0,0,9,2,0,0,"2,200",0
CA044,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"16,800",45,2,"1,500","1,000",596,6,100,0,0,0,3,0,0,500,596,0
CA045,1,0,2,0,0,0,0,300,270,0,0,0,0,0,"6,000",4,38,670,0,570,7,75,8,"1,200",0,1,0,0,670,840,89
CA046,4,0,0,2,4,0,8,420,675,1,2,0,0,0,"32,000",31,200,"1,200",100,600,14,85,5,0,0,13,1,1,"1,100","1,275","396,270"
CO001,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"17,000",5,52,"5,500","5,200",0,5,110,4,0,0,2,0,0,300,0,0
CO002,0,0,0,18,36,75,0,0,"1,450",0,0,2,5,"7,506","130,000",19,419,"5,377","5,675","2,800",25,55,4,0,0,18,2,10,-298,"4,250",0
CO003,0,0,0,17,34,59,0,0,0,0,0,7,20,"3,300","110,000",38,450,"5,672","5,365","3,500",29,65,4,"500,000",0,17,7,40,307,"3,500","83,581,660"
CO004,7,20,20,0,0,0,0,"1,800",0,0,0,0,0,0,"50,100",13,200,"6,200","5,800",0,35,60,7,0,0,7,0,0,400,0,0
CO005,0,0,0,7,24,28,0,800,750,0,0,5,100,"1,000","47,000",25,150,"5,580","5,260","2,450",12,70,2,0,0,7,5,353,320,"3,200",0
CO006,0,0,0,3,8,13,0,0,0,0,0,6,37,"13,466","19,000",8,247,"5,733","5,295",75,9,85,10,"25,287",0,3,6,95,438,75,"4,338,790"
CO007,0,0,0,5,9,22,0,0,850,0,0,5,28,"1,479","25,300",17,144,"6,180","5,552",220,14,75,0,"38,900",0,5,5,56,628,"1,070","39,684,720"
CO008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,000",4,55,"53,701","5,610",0,0,80,1,0,0,0,0,0,"48,091",0,0
CO009,0,0,0,22,42,87,0,0,0,0,0,3,5,"1,900","125,800",35,524,"5,249","4,872",600,36,81,6,"79,023",0,22,3,10,377,600,"46,108,870"
CO010,0,0,0,24,48,84,0,0,0,0,0,5,17,0,"106,000",50,538,"5,050","4,550","10,300",56,70,7,0,"1,180",24,5,35,500,"10,300","187,775,646"
CO011,0,1,1,0,1,0,0,273,100,1,1,1,9,0,"1,260",3,6,"9,430","9,300",0,2,90,0,"25,600",0,1,1,10,130,100,"666,000"
CO012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000",8,96,"4,970","4,755",0,2,65,1,0,0,0,0,0,215,0,0
CT001,2,3,5,4,5,6,0,50,535,0,0,0,0,0,"51,000",28,237,799,230,135,7,60,10,"42,000",0,6,0,0,569,670,0
CT002,2,3,4,0,0,0,0,94,330,1,3,0,0,0,"18,000",9,75,490,170,30,2,80,10,0,0,2,1,3,320,360,"11,987,756"
FL001,1,2,0,0,0,0,2,"1,000",75,0,0,0,0,0,"42,000",50,0,35,0,0,2,60,0,"1,600",0,3,0,0,35,75,0
FL002,4,4,0,0,0,0,1,70,400,2,3,0,0,0,"15,000",10,70,30,7,0,3,70,6,0,0,5,2,3,23,400,0
FL003,0,0,0,0,0,0,67,0,0,0,0,0,0,0,"683,729",185,"2,000",85,5,"3,275",40,50,7,"37,000",0,67,0,0,80,"3,275","144,199,001"
FL004,4,4,0,0,0,0,0,500,30,0,1,0,0,0,"49,495",44,218,0,0,160,8,60,10,0,0,4,0,1,0,190,0
GA001,0,0,0,29,43,90,0,0,"2,750",0,0,8,42,"20,538","254,974",216,"1,100",0,0,"2,150",13,65,10,"77,483",0,29,8,62,0,"4,900","203,804,387"
GA002,0,0,0,13,20,27,0,0,0,0,0,3,25,"3,700","18,000",23,165,960,920,"1,000",15,90,8,"28,007",0,13,3,39,40,"1,000",0
IA001,8,17,20,0,0,0,0,"1,600",980,5,5,0,0,"102,000","58,000",25,315,980,610,"1,215",18,60,7,"103,270",0,8,5,5,370,"2,195",0
IA002,4,7,9,0,0,0,0,50,615,0,0,0,0,"19,000","20,000",9,150,967,772,150,6,50,10,0,0,4,0,0,195,765,"33,295,864"
IA003,2,3,4,0,0,0,0,700,675,0,0,0,0,0,"17,000",25,130,990,794,900,4,65,9,0,0,2,0,0,196,"1,575",0
IA004,3,5,7,0,0,0,0,"1,600",920,0,0,0,0,0,"29,500",15,146,870,800,310,4,52,10,0,0,3,0,0,70,"1,230",0
IA005,2,4,5,0,0,0,0,"4,550",0,1,1,0,0,0,"14,000",0,60,0,0,150,3,65,10,0,0,2,1,1,0,150,0
IA006,5,8,12,0,0,0,2,"2,500","1,045",0,0,0,0,"27,500","53,000",50,194,"1,053",812,"2,050",7,73,8,"42,639",0,7,0,0,241,"3,095","1,344,922"
IA007,6,8,11,0,0,0,0,110,745,0,0,0,0,"36,000","53,000",24,220,230,50,"16,000",11,75,5,"19,160",330,6,0,0,180,"16,745","53,476,314"
IA008,0,0,0,14,28,36,0,240,"1,500",0,1,0,0,0,"85,000",58,393,"1,509","1,102","1,000",28,80,1,0,0,14,0,0,407,"2,500","29,541,263"
ID001,0,0,0,0,0,0,0,300,0,0,0,0,0,0,"4,800",12,250,"2,721","2,560","2,400",2,68,1,0,0,0,0,0,161,"2,400",0
IL001,0,17,12,0,0,0,4,900,"2,500",0,0,0,0,0,"60,000",8,325,761,666,440,9,50,0,"2,800",0,4,0,0,95,"2,940","421,478"
IL002,0,0,0,568,728,"1,458",0,0,"11,000",0,0,5,32,"36,680","2,896,000",225,"4,240",675,590,"22,764",60,35,10,"4,000,000",0,568,5,40,85,"33,764","3,920,218,166"
IL003,0,0,0,339,458,720,0,0,"6,400",0,0,4,41,"29,200","2,896,000",225,"4,240",675,590,"22,764",60,35,10,"4,000,000",0,339,4,55,85,"29,164","3,744,894,909"
IL004,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"42,000",10,170,0,0,685,6,40,5,0,0,4,0,0,0,685,0
IL005,11,17,23,8,12,28,0,"1,350","5,350",1,4,20,149,"70,000","170,000",50,600,890,810,"5,150",25,65,22,"134,000",0,19,10,93,80,"10,500","229,991,245"
IL006,6,11,11,0,0,0,0,110,"2,000",0,0,0,0,0,"43,500",100,210,764,760,"1,100",11,55,17,200,250,6,0,0,4,"3,100","38,448,184"
IL007,0,0,0,11,27,21,0,0,500,0,0,4,77,0,"30,000",15,175,693,590,"2,850",9,60,8,"149,200",0,11,4,189,103,"3,350","5,593,498"
IL008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,600",7,80,160,0,625,8,65,0,0,0,0,0,0,160,625,0
IL009,3,4,5,0,0,0,0,160,240,0,0,0,0,0,"22,261",20,5,0,0,640,3,65,12,"6,240",0,3,0,0,0,880,0
IL010,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"35,000",27,200,594,548,350,3,60,8,"1,200",0,4,0,0,46,350,"3,260,736"
IL011,0,0,0,22,40,42,0,0,725,0,0,8,100,"100,000","151,000",100,600,605,560,640,10,60,15,"50,000",0,22,8,181,45,"1,365","104,344,440"
IL012,1,1,1,0,0,0,2,"1,500",250,0,0,1,2,0,"25,000",29,170,650,600,250,4,55,3,728,0,3,0,0,50,500,"4,440,000"
IN001,45,69,0,97,142,0,2,144,"5,715",1,1,12,220,"28,000","1,100,000",675,"4,200",940,653,0,78,60,3,"414,000","12,417",144,9,220,287,"5,715","19,797,606"
KS001,0,0,0,2,4,7,0,40,190,0,0,0,0,0,"13,000",9,90,"1,180","1,070",865,4,58,14,"18,750",0,2,0,0,110,"1,055","14,090,784"
KS002,0,0,0,4,7,12,0,70,825,1,9,210,"5,524","2,930","40,000",25,180,"1,100",770,"1,375",5,90,8,"37,250",0,4,210,"8,464",330,"2,200","13,463,623"
LA001,2,3,4,0,0,0,0,200,285,0,0,0,0,"3,600",1,0,0,0,0,160,2,62,15,"250,000",0,2,0,0,0,445,"10,342"
LA002,0,0,0,3,4,7,0,0,210,0,0,46,170,0,"23,800",367,500,150,4,250,4,66,20,0,0,3,46,232,146,460,0
LA003,50,67,102,0,0,0,0,"1,800","9,500",0,1,0,0,0,"386,460",151,"1,491",62,25,"1,055",11,65,7,"20,800","5,375",50,0,1,37,"10,555","355,973,116"
LA004,0,3,0,0,0,0,0,600,100,0,0,0,0,0,"11,000",69,69,0,0,0,1,60,5,0,0,0,0,0,0,100,0
LA005,2,3,4,0,0,0,0,130,300,0,0,0,0,0,"18,000",17,163,150,85,75,1,76,17,0,0,2,0,0,65,375,0
LA006,2,4,0,0,0,0,0,330,630,0,0,0,0,0,"13,500",26,120,400,220,665,2,45,0,0,0,2,0,0,180,"1,295",0
LA007,1,2,2,0,0,0,0,"2,000",555,0,0,0,0,0,"11,000",60,260,150,70,40,1,60,11,0,0,1,0,0,80,595,"14,275,976"
MA001,0,0,0,0,0,0,0,130,190,0,0,0,0,0,"33,500",21,74,59,3,0,2,55,2,"3,700",0,0,0,0,56,190,"6,201,903"
MD001,1,1,0,2,3,3,0,200,180,0,0,1,4,"5,338","30,000",30,119,792,360,800,4,55,12,250,0,3,1,5,432,980,"29,203,829"
MD002,5,12,18,0,0,0,0,375,60,5,12,0,0,0,"30,000",3,125,7,-3,500,6,44,27,0,0,5,5,12,10,560,"58,816,926"
MI001,10,0,40,0,0,0,0,140,505,0,0,0,0,0,"55,000",50,350,"1,000",800,"2,625",14,70,18,0,0,10,0,0,200,"3,130",0
MI002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"15,531",3,53,0,0,0,0,46,9,0,0,1,0,0,0,0,0
MI003,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"45,000",8,228,733,599,503,12,65,0,"2,000",73,5,0,0,134,503,0
MI004,0,0,0,13,33,39,0,0,900,0,0,2,50,0,"54,375",60,222,705,578,665,16,75,2,0,0,13,2,124,127,"1,565","66,285,097"
MI005,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"20,000",32,240,0,0,0,6,60,4,0,0,5,0,0,0,0,0
MI006,0,0,0,8,11,30,0,0,400,0,0,5,133,146,"45,000",20,201,620,584,200,3,52,5,0,0,8,5,188,36,600,"4,244,596"
MI007,2,8,20,0,0,0,0,300,"1,075",0,0,0,0,0,"30,000",40,180,"1,060",960,"1,005",3,62,0,"2,664",0,2,0,0,100,"2,080","15,525,584"
MN001,10,14,14,0,0,0,3,450,975,1,1,0,0,"10,306","85,301",33,488,990,720,"2,455",30,68,7,"47,664",70,13,1,1,270,"3,430","91,763,155"
MN002,2,4,0,0,0,0,0,400,475,0,0,0,0,0,"18,500",12,100,"1,131",0,475,3,65,6,0,0,2,0,0,"1,131",950,"10,822,500"
MN003,7,19,27,0,0,0,0,482,0,0,0,0,0,0,"55,000",36,266,"1,050",900,"2,275",9,63,8,"10,600",0,7,0,0,150,"2,275","51,200"
MO001,0,3,3,6,8,8,0,120,435,0,0,70,850,0,"36,000",50,245,200,20,300,6,45,15,0,0,6,68,"1,101",180,735,0
MO002,29,38,42,0,0,0,0,108,"2,560",5,80,0,0,0,"250,000",79,722,"1,050",730,"1,035",10,85,8,"20,000",738,29,5,80,320,"3,595","340,722,559"
MO003,3,4,8,0,0,0,0,130,330,0,0,0,0,"8,000","22,400",11,87,790,650,725,7,60,14,"27,000",200,3,0,0,140,"1,055","34,850,792"
MO004,0,0,0,0,0,0,0,"1,400",100,0,0,0,0,0,"13,000",0,0,0,0,125,7,60,0,0,0,0,0,0,0,225,"66,529,826"
MO005,2,5,8,11,16,16,0,"1,516","1,450",0,0,16,177,820,"55,000",400,430,"1,163",887,545,6,65,12,"21,919",760,13,14,222,276,"1,995","105,419,634"
MO006,1,1,7,3,5,4,0,0,0,0,0,25,500,0,"10,505",5,0,0,0,725,2,60,45,0,352,3,19,769,0,725,0
MO007,3,6,7,28,38,39,0,"1,200","12,550",0,1,2,19,"2,000","160,000",160,"1,126","1,400","1,123","1,120",13,60,12,0,"3,550",31,2,24,277,"13,670","377,196,182"
MO008,4,6,6,0,0,0,4,80,480,0,1,0,0,"8,179","51,381",22,210,730,443,"1,300",3,55,5,0,0,7,0,1,287,"1,780",0
MT001,0,0,0,11,32,63,0,0,"1,335",0,0,6,36,0,"64,000",22,290,"3,664","3,294","6,600",12,73,10,"67,000",0,11,6,102,370,"7,935","75,104,660"
NC001,0,0,0,7,12,18,0,0,900,0,0,8,533,"2,859","38,000",20,300,"1,500","1,000",220,9,70,5,"6,500",0,7,8,828,500,"1,120",0
NC002,0,0,0,4,5,6,0,0,600,0,0,31,32,0,"25,000",0,225,"1,070",750,200,12,68,20,"4,000",0,4,31,37,320,800,0
NC003,0,0,0,5,7,8,0,0,900,0,0,39,440,0,"14,400",90,65,"1,259",720,950,6,60,10,"22,890",0,5,39,637,539,"1,850",0
NC004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"10,657",30,150,"1,558","1,220",50,1,50,12,0,0,1,0,0,338,50,"20,548,831"
NC005,0,0,0,43,0,97,0,0,"8,835",0,0,30,462,0,"280,000",0,"1,900","1,140",890,"15,630",55,80,10,0,"4,530",43,30,0,250,"24,465","425,885,968"
NC006,0,0,0,3,5,7,0,0,600,0,0,4,13,0,"12,000",15,105,880,490,350,5,80,20,"10,980",240,3,4,20,390,950,"23,285,669"
NC007,0,0,0,2,3,3,0,0,120,0,0,53,"1,028",0,"21,000",125,350,"1,258",868,850,5,75,12,"13,000",0,2,53,"1,423",390,970,"26,532,941"
NC008,2,4,4,6,8,16,0,150,250,0,0,6,24,0,"22,500",0,225,0,0,450,9,70,2,0,0,8,5,24,0,700,0
NC009,3,4,8,0,0,0,0,196,580,0,1,0,0,0,"20,552",85,172,225,180,275,4,78,19,"5,156",0,3,0,1,45,855,"13,707,656"
NC010,0,0,0,3,4,6,0,0,250,0,0,10,47,0,"11,138",12,120,116,30,625,3,68,6,0,180,3,10,68,86,875,"2,755,636,916"
NC011,0,0,4,16,25,26,0,0,"1,850",0,0,0,0,"6,200","126,500",0,750,0,0,"2,500",5,75,20,"75,000",0,16,0,0,0,"4,350",0
NC012,6,10,9,0,0,0,0,593,"1,795",0,0,0,0,0,"103,756",578,910,70,32,"1,925",10,70,10,"18,432",0,6,0,0,38,"3,720","81,739,112"
NC013,0,0,0,10,14,23,0,0,600,0,0,6,23,"2,818","76,000",116,550,75,10,"2,200",9,60,9,"57,000",0,10,6,33,65,"2,800","84,227,360"
ND001,0,0,0,11,18,30,0,0,525,0,0,54,"1,514","155,184","98,000",44,413,912,892,"1,850",12,50,14,"109,870",0,11,54,"2,503",20,"2,375","2,394,180"
NE001,28,51,75,11,21,35,0,84,"5,095",0,0,0,1,0,"238,750",82,"1,132","1,440","1,130","9,850",105,65,4,0,"3,900",39,0,1,310,"14,945","526,692,380"
NH001,0,0,0,2,3,5,0,0,140,0,0,0,0,0,"17,000",46,116,580,190,284,4,60,15,"14,497",0,2,0,0,390,424,"6,559,628"
NJ001,4,5,5,0,0,0,0,800,450,0,0,0,0,0,"12,500",3,0,0,0,0,2,50,10,0,0,4,0,0,0,450,0
NJ002,4,10,19,0,0,0,0,299,770,0,0,0,0,0,"18,458",7,109,20,5,430,4,48,4,"10,000",550,4,0,0,15,"1,200",0
NJ003,2,9,11,0,0,0,3,700,910,0,0,0,0,0,"45,000",100,200,208,60,450,7,65,8,"10,000",300,5,0,0,148,"1,360",0
NJ004,0,0,0,38,83,100,0,0,600,0,0,5,13,"12,290","800,000",24,550,683,40,"9,220",250,90,10,"200,000",0,38,5,29,643,"9,820",0
OH001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,070,000",435,"3,500","1,190",903,"37,158",72,67,23,"6,000",0,0,0,0,287,"37,158","183,701,656"
OH002,0,0,0,60,76,65,0,0,"1,320",0,0,54,387,0,0,0,0,0,0,0,0,0,0,0,0,60,54,490,0,"1,320","269,557,917"
