raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
0,0,0,5,7,10,0,0,45,9.0,148.0,0.0,0,1096,27247,7,89,0,5,330,7,58,15,0,1833,5,0,0,-5,375,17392668
1,0,2,0,0,0,0,300,270,0.0,0.0,0.0,0,0,6000,4,38,670,0,570,7,75,8,1200,0,1,0,0,670,840,89
4,0,0,2,4,0,8,420,675,1.0,2.0,0.0,0,0,32000,31,200,1200,100,600,14,85,5,0,0,13,1,1,1100,1275,396270
0,0,0,17,34,59,0,0,0,0.0,0.0,7.0,20,3300,110000,38,450,5672,5365,3500,29,65,4,500000,0,17,7,40,307,3500,83581660
0,0,0,3,8,13,0,0,0,0.0,0.0,6.0,37,13466,19000,8,247,5733,5295,75,9,85,10,25287,0,3,6,95,438,75,4338790
0,0,0,5,9,22,0,0,850,0.0,0.0,5.0,28,1479,25300,17,144,6180,5552,220,14,75,0,38900,0,5,5,56,628,1070,39684720
0,0,0,22,42,87,0,0,0,0.0,0.0,3.0,5,1900,125800,35,524,5249,4872,600,36,81,6,79023,0,22,3,10,377,600,46108870
0,0,0,24,48,84,0,0,0,0.0,0.0,5.0,17,0,106000,50,538,5050,4550,10300,56,70,7,0,1180,24,5,35,500,10300,187775646
0,1,1,0,1,0,0,273,100,1.0,1.0,1.0,9,0,1260,3,6,9430,9300,0,2,90,0,25600,0,1,1,10,130,100,666000
2,3,4,0,0,0,0,94,330,1.0,3.0,0.0,0,0,18000,9,75,490,170,30,2,80,10,0,0,2,1,3,320,360,11987756
0,0,0,0,0,0,67,0,0,0.0,0.0,0.0,0,0,683729,185,2000,85,5,3275,40,50,7,37000,0,67,0,0,80,3275,144199001
0,0,0,29,43,90,0,0,2750,0.0,0.0,8.0,42,20538,254974,216,1100,0,0,2150,13,65,10,77483,0,29,8,62,0,4900,203804387
4,7,9,0,0,0,0,50,615,0.0,0.0,0.0,0,19000,20000,9,150,967,772,150,6,50,10,0,0,4,0,0,195,765,33295864
5,8,12,0,0,0,2,2500,1045,0.0,0.0,0.0,0,27500,53000,50,194,1053,812,2050,7,73,8,42639,0,7,0,0,241,3095,1344922
6,8,11,0,0,0,0,110,745,0.0,0.0,0.0,0,36000,53000,24,220,230,50,16000,11,75,5,19160,330,6,0,0,180,16745,53476314
0,0,0,14,28,36,0,240,1500,0.0,1.0,0.0,0,0,85000,58,393,1509,1102,1000,28,80,1,0,0,14,0,0,407,2500,29541263
0,17,12,0,0,0,4,900,2500,0.0,0.0,0.0,0,0,60000,8,325,761,666,440,9,50,0,2800,0,4,0,0,95,2940,421478
0,0,0,568,728,1458,0,0,11000,0.0,0.0,5.0,32,36680,2896000,225,4240,675,590,22764,60,35,10,4000000,0,568,5,40,85,33764,3920218166
0,0,0,339,458,720,0,0,6400,0.0,0.0,4.0,41,29200,2896000,225,4240,675,590,22764,60,35,10,4000000,0,339,4,55,85,29164,3744894909
11,17,23,8,12,28,0,1350,5350,1.0,4.0,20.0,149,70000,170000,50,600,890,810,5150,25,65,22,134000,0,19,10,93,80,10500,229991245
6,11,11,0,0,0,0,110,2000,0.0,0.0,0.0,0,0,43500,100,210,764,760,1100,11,55,17,200,250,6,0,0,4,3100,38448184
0,0,0,11,27,21,0,0,500,0.0,0.0,4.0,77,0,30000,15,175,693,590,2850,9,60,8,149200,0,11,4,189,103,3350,5593498
0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0,0,35000,27,200,594,548,350,3,60,8,1200,0,4,0,0,46,350,3260736
0,0,0,22,40,42,0,0,725,0.0,0.0,8.0,100,100000,151000,100,600,605,560,640,10,60,15,50000,0,22,8,181,45,1365,104344440
1,1,1,0,0,0,2,1500,250,0.0,0.0,1.0,2,0,25000,29,170,650,600,250,4,55,3,728,0,3,0,0,50,500,4440000
45,69,0,97,142,0,2,144,5715,1.0,1.0,12.0,220,28000,1100000,675,4200,940,653,0,78,60,3,414000,12417,144,9,220,287,5715,19797606
0,0,0,2,4,7,0,40,190,0.0,0.0,0.0,0,0,13000,9,90,1180,1070,865,4,58,14,18750,0,2,0,0,110,1055,14090784
0,0,0,4,7,12,0,70,825,1.0,9.0,210.0,5524,2930,40000,25,180,1100,770,1375,5,90,8,37250,0,4,210,8464,330,2200,13463623
2,3,4,0,0,0,0,200,285,0.0,0.0,0.0,0,3600,1,0,0,0,0,160,2,62,15,250000,0,2,0,0,0,445,10342
50,67,102,0,0,0,0,1800,9500,0.0,1.0,0.0,0,0,386460,151,1491,62,25,1055,11,65,7,20800,5375,50,0,1,37,10555,355973116
1,2,2,0,0,0,0,2000,555,0.0,0.0,0.0,0,0,11000,60,260,150,70,40,1,60,11,0,0,1,0,0,80,595,14275976
0,0,0,0,0,0,0,130,190,0.0,0.0,0.0,0,0,33500,21,74,59,3,0,2,55,2,3700,0,0,0,0,56,190,6201903
1,1,0,2,3,3,0,200,180,0.0,0.0,1.0,4,5338,30000,30,119,792,360,800,4,55,12,250,0,3,1,5,432,980,29203829
5,12,18,0,0,0,0,375,60,5.0,12.0,0.0,0,0,30000,3,125,7,-3,500,6,44,27,0,0,5,5,12,10,560,58816926
