ID,Number of Grounds Water Sources,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Number of Surfaces Water Sources,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Number of Purchased Sources,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Total Number of Pumps,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Algae Control,Disinfection,Oxidation,Iron Removal,Manganese Removal,Taste/Odor Control,TOC Removal,Particulate/Turbidity Removal,Softening,Recarbonation,Organic,Inorganic,Radionuclide,Aeration,Ultraviolet,Ozone,Upflow Clarification,Gravity Clarification,Dissolved Air Floatation Clarification,Flocculation,Direct Filtration,Slow Sand Filtration,Dual Stage Filtration,Rapid Rate Filtration,Diatomaceous earth Filtration,Pressure Filtration,Reverse Osmosis Membrane,Microfiltration Membrane,Ultrafiltration Membrane,Nanofiltration Membrane,Number of Treatment Plants,No Treatment,Gravity Thickening,Mechanical Dewatering,Centrifuge,Residual Pressure Filtration,Vacuum Filtration,Belt Press,Plate & Frame Press,Non-Mechanical Dewatering,Lagoon dewatering thickening,Sand Drying Bed,Freezing and Thawing,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Number of Distribution Pumps,Total Storage Volume,Average Distribution Pressure,Number of Distribution Zones,Unaccounted for Treated Water,Production Energy Use,Production Energy Peak,Poduction Cost,Treatment Energy Use,Treatment Energy Peak,Treatment Energy Cost,Distribution Energy Use,Distribution Energy Peak,Distribution Energy Cost,Total Energy Use,Total Energy Peak,Total Energy Cost,Total Building Area,Natural Gas Use,Natural Gas Cost,Engine Driven Pumps,Engine Driven Pump HP,Engine Driven Pump Fuel Type,Purchased Energy,Purchased Energy Source,Amount of Purchased Energy,Purcahsed Energy Cost,Regularly Checked Utility Bills,Extraordinary Events,Additional Comments,Total Average Flow,Average raw turbidity,Peak raw turbidity,Treatment for metals (iron mang),Treatment for contaminates (organic inorganic radon),Difference between highest and lowest system elevation,Total system hp
id,raw_g_num,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_num,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_num,raw_p_aflow,raw_g_depth,raw_hp,raw_npump,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,treat_algae,treat_disinf,treat_ox,treat_iron,treat_mang,treat_odor,treat_TOC,treat_turb,treat_soft,treat_recarb,treat_organic,treat_inorganic,treat_radon,process_aerate,process_UV,process_OZ,process_clar_up,process_clar_gravity,process_clar_daf,process_floc,process_filtr_direct,process_filtr_sand,process_filtr_dual,process_filtr_rapid,process_filtr_dearth,process_filtr_press,process_mem_rosmos,process_mem_micfiltr,process_mem_ultfiltr,process_mem_nanofiltr,utility_nplants,res_none,res_gravity,res_dewat_mech,res_cent,res_press_filtr,res_vac_filtr,res_bpress,res_ppress,res_dewat_nmech,res_lagoon,res_sand,res_frz,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_npump,distrib_storage,distrib_press,distrib_nzones,distrib_lost,raw_kwh,raw_kw,raw_cost,treat_kwh,treat_kw,treat_cost,distrib_kwh,distrib_kw,distrib_cost,utility_kwh,utility_kw,utility_cost,floor_area,ngas_use,ngas_cost,pump_eng,pump_eng_hp,pump_eng_fuel,oenergy_purch,oenergy_type,oenergy_amount,oenergy_cost,check_util,extra_event,notes,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_metals,calc_contam,calc_elev_change,calc_hp
CA020,0,0,0,0,2,25,50,63,1,3,0,3550,17,0,0,5,39,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2110,67125,103.6,400,840,350,680,7,31,50,13,10,1092341,1564,152936,1468240,0,119139,111941,0,35859,2672522,0,387934,0,0,0,0,0,,1,Diesel,,2000,0,0,,28,5,78,0,1,490,4230
CA021,7,8.96,14.29,16.19,0,0,0,0,0,0,871,2750,7,0.6,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30000,138,238,1637,888,513,13,17.22,83,6,10,9393697,2269,640795,0,0,0,0,0,0,9393697,0,640795,0,0,0,0,0,,0,,,0,1,1,,8.96,0.6,3.8,0,0,749,3263
CA022,40,30.8,52,58,4,7.6,8.6,10.6,4,36.9,783,10000,44,0,0,0.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000,150,800,2850,1305,18000,126,125,90,17,5,23782000,6185,2060800,0,0,0,23434000,12400,1949250,47216000,0,4010050,0,1081837,780600,1,5000,Natural Gas,0,,,0,1,0,No treatment other than Well Head Disinfection,75.3,0.1484375,0.3,0,0,1545,28000
CA023,3,4.2,5.6,5.6,0,0,0,0,1,18.8,0,0,0,0,0,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000,12,250,243,124,0,0,0,80,3,3,1044900,471,89937,0,0,0,0,0,0,1044900,471,89937,0,0,0,0,0,,0,,,0,1,0,,23,0,0,0,0,119,0
CA024,7,5.9,0,0,0,0,0,0,1,11.34,150,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,300,300,150,875,10,3,50,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,575,Diesel,0,,,0,1,0,,17.24,0,0,0,0,150,875
CA025,2,0,0,0,0,0,0,0,0,4,350,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,4,80,225,200,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,The 2 ground wells are for emergecy usage only  The Energy use is labelled NA,4,0,0,0,0,25,200
CA026,4,3,0,0,1,1,0,0,0,0,500,550,4,0.13,0,0.03,0.04,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,12,56,660,300,0,0,6,70,2,0,1597265,0,216318,0,0,0,0,0,0,1597265,0,0,0,0,0,0,0,,0,,,0,1,0,,4,0.105,0,0,0,360,550
CA027,33,30,84,0,2,10,0,0,2,0,500,11815,33,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,147000,52,600,1785,850,0,29,36,97,8,6,0,0,0,0,0,0,0,0,0,48958440,0,4660421,10000,0,0,0,0,,0,,,0,1,1,Treatment process at minimum flow substituted with deep water wells,40,2,0,0,0,935,11815
CA028,24,17.6,30.38,33.2,0,0,0,0,0,0,566,3980,24,0.15,0.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,55,350,3309,2800,3980,24,54,60,5,0,15090982,0,1243818,0,0,0,0,0,0,15090982,0,1243818,0,0,0,1,600,Diesel,0,,,0,1,0,,17.6,0.15,0.6,0,0,509,7960
CA029,0,0,0,0,0,0,0,0,5,16.9,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80650,45,324,1600,300,3160,14,74,125,21,5,0,0,0,0,0,0,2794369,661034,371082,2794369,661034,371082,0,12721,11774,1,275,Natural Gas,0,,,0,1,0,,16.9,0,0,0,0,1300,3160
CA030,1,0.46,1.08,0.86,3,6.54,32.1,0,1,205,440,600,1,3.58,7.68,0.61,10.9,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1294000,403,3317,1130,260,6900,70,80375,60,109,7.2,5977300,21050,704700,962166,35083,1174500,23909199,84200,2818800,39848665,140333,4698000,0,0,10000,0,0,,0,,,0,1,0,,212,0.805171429,50.5,0,0,870,7500
CA031,12,4.6,6.3,6.5,1,12.7,30,30,1,6.9,800,190,3,0.1,0.3,5.54,69,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177630,32,390,500,5,2045,65,42.8,60,15,1,4501000,0,459000,1814000,0,190000,2242000,0,325000,8557000,0,974000,0,0,0,0,0,,0,,,0,1,0,,24.2,4.093526012,119.7,0,0,495,2235
CA032,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24800,102,285,2400,930,20500,96,140,100,14,5,0,0,0,0,0,0,0,0,0,32950283,0,3446960,0,455323,340289,1,2800,Natural Gas,0,,,0,1,0,,40,0,0,0,0,1470,20500
CA033,2,0.1,0.2,0,2,5.4,8.5,16,0,0,140,2450,13,0.05,0,1,20,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,44519,20,160,700,90,790,20,24.6,50,15,6,0,0,0,1261200,0,129276,971359,0,112826,2232559,0,242102,0,0,0,0,0,,0,,,0,1,0,The city has a policy to only operate the plant and water pumping facility outside of peak periods from May to October saving $120000 a year,5.5,0.982727273,30.9,0,0,610,3240
CA034,0,0,0,0,0,0,0,0,1,0.46,0,0,0,0,0,0.46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10825,62,97.2,735,38,1970,26,8.3,70,16,6.5,0,0,0,0,0,0,0,0,257776,0,0,257776,0,0,1172,0,0,,0,,,0,0,0,,0.46,0,0,0,0,697,1970
CA035,0,0,0,0,0,0,0,0,0,4,500,490,5,0,0,0.07,0.27,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,40165,5.87,100,1000,40,1165,18,7.01,90,13,5.9,934277,6472,101265,0,0,0,1265101,30836,120533,2199378,37308,221798,1225,0,0,1,1080,Diesel,0,,,0,1,0,,4,0,0,1,0,960,1655
CA036,6,0,0,5,1,11.4,18.84,24,0,0,600,0,0,0.3,0.8,4,700,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,900,84000,45.3,250,780,230,100,6,20,75,5,8,0,0,0,432525,115,53612,111211,33,11412,543736,0,65024,6250,0,0,0,0,,0,,,0,0,0,,11.4,4,1156.8,1,1,550,100
CA037,7,0,0,4,3,16,36,37,0,0,500,0,0,0,0,3.04,12.6,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,870,90473,43,309.19,1396,0,2810,34,43.39,122,13,4.8,0,0,0,645135,73,97072,1549247,178,291464,2194382,0,388536,0,2302,2468,0,0,,0,,,0,1,0,,16,3.04,28.4,0,0,1396,2810
CA038,4,0,0,0,0,0,0,0,1,5,350,0,0,0,0,0.35,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,5.5,52,40,-11,0,0,6,85,2,0,0,0,0,0,0,0,74455,0,10481,74455,0,10481,3500,0,0,1,1500,Diesel,0,,,0,1,0,,5,0,0,0,0,51,0
CA039,7,0,1,0,0,0,0,0,1,15,400,450,3,0.2,0.7,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91000,17,269,950,150,2900,28,24.6,80,7,6,0,0,0,0,0,0,4968982,0,646559,4968982,0,646559,20000,9458,1553,0,0,,1,Diesel,,655,1,0,,15,0,0,0,0,800,3350
CA040,3,0.34,0.92,2,6,10.83,15,24,0,0,200,1200,10,1,1,5,25,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1000,90000,30,262,1014,0,950,14,44.5,85,15,8,4069114,464305,473033,1434240,161280,166572,1443194,153168,167381,6946548,778753,806986,0,9279,8549,1,125,Diesel,1,Propane,300 gallons,780,1,0,,11.17,4.8782453,33.6,1,0,1014,2150
CA041,15,13.91,16.22,17,2,28.34,31.52,31,0,0,200,4740,19,0.12,1,2.85,19.83,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,25,87000,50,467,0,0,2005,21,32,75,5,5,10988819,1950.2,894659,539360,3680,65675,1521450,279,266687,13049629,0,1227021,0,0,0,0,0,,0,,,0,0,0,,42.25,1.9512,15.1,0,0,0,6745
CA042,0,0,0,0,1,4.54,7.1,10,0,0,0,45,6,8.93,148.06,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1096,27247,7.12,89.24,0,5,330,8,6.5,58,4,15,0,0,0,1551600,188400,188408,15307,2971,2471,1566907,0,190879,0,0,0,1,1833,Diesel,0,,,0,1,1,,4.54,0,0,0,0,-5,375
CA043,9,9,15.5,0,0,0,0,0,0,0,325,1100,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36000,7,138,98,98,1100,9,1.5,50,1,0,0,0,258688,0,0,0,0,0,0,0,0,258688,0,0,0,0,0,,0,,,0,0,0,,9,2,0,0,0,0,2200
CA044,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0.07,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,45.2,1.5,1500,1000,596,16,5.6,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,3.1,0,0,0,0,500,596
CA045,5,1,0,2,0,0,0,0,0,0,300,270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,4,38.3,670,0,570,8,7,75,3,8,8,0,170000,0,0,0,0,0,0,0,0,170000,1200,0,200,0,0,,0,,,0,1,0,,1,0,0,0,0,670,840
CA046,7,3.6,0,0,1,2.1,4,0,1,7.5,420,675,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32000,31,200,1200,100,600,5,14,85,5,5,35700,191,18400,0,0,0,0,0,68500,0,0,86900,0,0,0,0,0,,0,,,0,1,0,The energy figures are for July only and the distribution energy has 35 separate accounts,13.2,0.631578947,1.3,0,0,1100,1275
CO001,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17000,5,52,5500,5200,0,0,4.5,110,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,1.78,0,0,0,0,300,0
CO002,0,0,0,0,2,17.5,36.4,75,0,0,0,1450,6,0,0,2,5,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7506,130000,19,419,5377,5675,2800,12,25,55,5,4,0,0,0,0,2400,57818,0,1500,24893,0,0,82711,0,0,0,0,0,,0,,,0,1,0,,17.5,2,10.4,0,0,-298,4250
CO003,0,0,0,0,1,17,34,59,0,0,0,0,0,0,0,7.1,20,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3300,110000,38,450,5672,5365,3500,12,28.6,65,6,4,0,0,0,6407000,1775,331500,1050000,325,68500,7457000,2100,400000,500000,7900,81500,0,0,,0,,,0,1,1,,17,7.1,40,1,0,307,3500
CO004,100,7.21,20,20,0,0,0,0,0,0,1800,0,100,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50100,13,200,6200,5800,0,5,35,60,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Diesel,0,,,0,0,0,Do not have energy data put together,7.21,0,0,1,1,400,0
CO005,3,0,0,0,3,6.8,24,28,0,0,800,750,3,0,0,5,100,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1000,47000,25,150,5580,5260,2450,7,12,70,2,2,0,0,0,0,0,0,0,0,0,0,0,440000,0,0,25000,0,0,,0,,,0,1,0,,6.8,5,352.9,1,0,320,3200
CO006,0,0,0,0,0,2.96,7.61,13,0,0,0,0,0,0,0,6.19,36.8,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,13466,19000,7.82,247,5733,5295,75,6,8.5,85,3,10,0,0,0,0,0,0,0,0,0,1059330,80480,68722,25287.25,42371,20950,0,0,,0,,,0,0,0,,2.96,6.19,94.6,0,1,438,75
CO007,0,0,0,0,0,4.65,9.4,22,0,0,0,850,4,0,0,4.6,27.6,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1479,25300,16.7,144,6180,5552,220,8,14.4,75,6,0,0,0,0,2991000,0,236332,584200,0,3609,3575200,0,239941,38900,0,15646,0,0,,0,,,0,0,0,,4.65,4.6,55.8,0,1,628,1070
CO008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,4.02,54.5,53701,5610,0,0,0,80,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,48091,0
CO009,0,0,0,0,2,21.8,42.3,87,0,0,0,0,0,0,0,2.9,5.2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1900,125800,35,524,5249,4872,600,6,36.3,81,2,6,0,0,0,3227447,905,206741,794769,0,50665,4022216,905,257406,79023,14280,85470,0,0,,0,,,0,1,0,,21.8,2.9,10.1,1,0,377,600
CO010,0,0,0,0,1,23.6,48,84,0,0,0,0,0,0,0,4.9,17.3,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,106000,50,538,5050,4550,10300,32,56.4,70,9,7,0,0,0,1433600,288,85752,14628500,4764,971214,16062100,5052,1056966,0,92640,66412,1,1180,Diesel,0,,,0,1,0,,23.6,4.9,35.2,0,1,500,10300
CO011,0,0.3,0.62,1,0,0.3,0.62,0,0,0,273,100,1,0.6,1,0.9,8.7,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,2.5,6,9430,9300,0,0,1.5,90,0,0,0,0,0,60000,23,4300,0,0,0,60000,23,4300,25600,0,0,0,0,,1,Electrical,,51600,1,0,,0.6,0.75,9.5,1,1,130,100
CO012,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,8,95.6,4970,4755,0,0,2,65,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,0,0,0,0,0,215,0
CT001,10,2,2.7,4.8,1,3.5,4.6,6,0,0,50,535,11,0,0,0.03,0.06,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,27.6,237,799,230,135,3,7.1,60,4,10,0,0,0,0,0,0,0,0,0,3676498,0,350000,42000,0,2200,0,0,,0,,,0,1,0,,5.5,0.019090909,0.1,0,1,569,670
CT002,6,1.75,2.85,3.67,0,0,0,0,0,0,94,330,6,0.73,2.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,9,75,490,170,30,3,2.1,80,3,10,968292,0,102834,0,0,0,111686,0,11569,1079978,0,114402,0,0,0,0,0,,0,,,0,1,0,,1.75,0.73,2.5,0,0,320,360
FL001,5,1.1,2.1,0,0,0,0,0,1,1.7,1000,75,5,0.05,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,50,0,35,0,0,0,1.5,60,0,0,0,87,58413,0,0,0,0,0,0,0,87,58413,1600,0,0,0,0,,0,,,0,1,1,,2.8,0.05,0.1,1,0,35,75
FL002,3,4,3.93,0,0,0,0,0,1,1.35,70,400,10,2.1,2.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15000,10,70,30,7,0,9,3.25,70,2,6,0,0,0,0,0,0,0,0,0,271308,0,33300,0,0,0,0,0,,0,,,0,1,1,,5.35,2.1,2.8,0,0,23,400
FL003,0,0,0,0,0,0,0,0,2,66.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,683729,185,2000,85,5,3275,7,40.2,50,1,7.44,0,0,0,3179200,782,193784,9811701,1702,800570,12990901,0,994354,37000,0,0,0,0,,0,,,0,1,1,Hurricanes and above average rainfall impacted energy use,66.98,0,0,0,0,80,3275
FL004,72,3.58,4.39,0,0,0,0,0,0,0,500,30,3,0.22,0.52,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49495,44,218,0,0,160,4,7.5,60,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,3.58,0.22,0.5,1,0,0,190
GA001,0,0,0,0,0,28.8,42.5,90,0,0,0,2750,2,0,0,8,42,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20538,254974,216,1100,0,0,2150,4,12.6,65,2,10,0,0,0,11013000,2400,571505,7342000,1600,381003,18355000,4000,952509,77483,623.9,53460,0,0,,0,,,0,0,0,This is a pilot survey,28.8,8,62,1,0,0,4900
GA002,0,0,0,0,1,13,20,27,0,0,0,0,0,0,0,3,25,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3700,18000,23,165,960,920,1000,1,15,90,2,8,0,0,0,0,0,0,0,0,0,3231000,0,290781,28007,0,0,0,0,,1,Fuel Oil,,0,0,0,There are 4 distribution pumps (3 - 1000 HP pumps 1 - 750 HP pump) however only one is used at a time,13,3,38.5,1,1,40,1000
IA001,9,8,17,20,0,0,0,0,0,0,1600,980,9,5,5,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,102000,58000,25,315,980,610,1215,8,17.5,60,5,7,0,0,0,0,0,0,0,0,0,0,0,312803,103270,0,49186,0,0,,0,,,0,0,0,,8,5,5,1,0,370,2195
IA002,22,4.26,6.6,9,0,0,0,0,0,0,50,615,22,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,19000,20000,9,150,967.2,772.14,150,2,5.5,50,1,10,0,0,0,2124000,701,135074,818240,204,41298,2942240,0,176372,0,0,1454,0,0,,1,WTP propane heaters,7000 gallons,6827,1,0,,4.26,0,0,1,1,195.06,765
IA003,8,2.1,3.45,4,0,0,0,0,0,0,700,675,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17000,25,130,990,794,900,6,4,65,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,Do not have Energy use readily available but budget $130000 for Gas and Electricity use a year,2.1,0,0,1,0,196,1575
IA004,6,2.6,5.4,7,0,0,0,0,0,0,1600,920,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,29500,14.6,145.8,870,800,310,4,4.2,52,1,10,0,0,0,0,0,0,0,0,0,3024000,0,200260,0,0,3900,0,0,,0,,,0,1,0,,2.6,0,0,0,0,70,1230
